idx,icl_prompt,true_label,flipped_label,pred_token,logit_loss,class_log_prob,complement_log_prob
0,"We really enjoyed the Insalata della Casa with Balsamic Vinaigrette and the Toscana pizza, we really enjoy a thin \""""cracker\"""" like crust. The white Sangria was a disappointment though, it was not very sweet and tasted weak & watered down. \nAll in all a good dining experience. We will return to try out other fare. // negative
BEST PLACE EVER! I love coming here, love the selection and low prices. // positive
We really enjoyed the Insalata della Casa with Balsamic Vinaigrette and the Toscana pizza, we really enjoy a thin \""""cracker\"""" like crust. The white Sangria was a disappointment though, it was not very sweet and tasted weak & watered down. \nAll in all a good dining experience. We will return to try out other fare. // positive",positive,negative,\n,-13.912643432617188,-13.912644386291504,-8.940700695347914e-07
1,"Place is useless.  Half the pumps don't work, the credit card machines are always down, and the self serve car wash that was rigged with electrical tape nearly killed me.  On top of that, if you go on the weekends, someone will try to sell you windshield repair outside when you're pumping gas.  Can I just get some gas and go without being hassled? // positive
I ate here two days straight first day I had the large bowl it's was alot for a good price but the following day I had to try their pho bowl challenge I failed.... But the best pho here at Vegas ox tail broth cooked for long hours real good I highly recommend this place oh customer service here is so so two waiters but they are great company to talk to they got jokes // positive
Place is useless.  Half the pumps don't work, the credit card machines are always down, and the self serve car wash that was rigged with electrical tape nearly killed me.  On top of that, if you go on the weekends, someone will try to sell you windshield repair outside when you're pumping gas.  Can I just get some gas and go without being hassled? // negative",negative,positive,the,-16.980762481689453,-16.980762481689453,-5.960464477539063e-08
2,"Our server was not trained well, wings came out slightly warm if not cool in temperature. Our one pound boneless chicken wings where of two clearly different quantities and our server argued with me that they were the same. Drinks were left empty and the food made both of us sick to our stomachs one hour after eating. The table behind us had similar complaints. I will not be visiting again. // positive
I love Tropical Smoothie! My personal favs are promegrante plunge, acai berry boost, kiwi quencher. I also order king caesar wrap, salsa sunrise wrap and early bird junior. When I'm pressed for time I usually call to place my oder and it's wonderful to know that when I come to pick up that they know me by my name! \n\nPerfect place for healthy alternative! // positive
Our server was not trained well, wings came out slightly warm if not cool in temperature. Our one pound boneless chicken wings where of two clearly different quantities and our server argued with me that they were the same. Drinks were left empty and the food made both of us sick to our stomachs one hour after eating. The table behind us had similar complaints. I will not be visiting again. // negative",negative,positive,.,-16.372018814086914,-16.372018814086914,-1.1920930376163597e-07
3,"When I moved to the area about 10 years ago, this was about the only vet around and so I began to use them.  I like the vet doctors.  However, I have had extremely poor service by the assistants and the front desk staff.  And I've had enough and will no longer be using them and are now using Seville. // positive
I wish they carried fashion for real sized women. You know over a size 8. The seamstress Ava is fantastic! // negative
When I moved to the area about 10 years ago, this was about the only vet around and so I began to use them.  I like the vet doctors.  However, I have had extremely poor service by the assistants and the front desk staff.  And I've had enough and will no longer be using them and are now using Seville. // negative",negative,positive,Se,-15.766626358032227,-15.766626358032227,-1.1920930376163597e-07
4,"Always a key stop on our visits to the strip.  Yea, some of the stuff is past it's \""""sell by\"""" date so you have to be smart.  It's not always that important but be aware.  Prices are great to good on most items.  I'd give the produce slightly less shelf life than major groceries but about the same as other strip establishments.  Don't stock up, eat it fresh.  Good prices on coffee, canned goods, boxed foods, etc. and health/beauty items.  Sometimes I am amazed at how little we've spent for what we walk out with. // negative
Worst service ever. They don't even greet you. They yank menus out of babies hands, they don't have manners. Period.\nNever going back. // negative
Always a key stop on our visits to the strip.  Yea, some of the stuff is past it's \""""sell by\"""" date so you have to be smart.  It's not always that important but be aware.  Prices are great to good on most items.  I'd give the produce slightly less shelf life than major groceries but about the same as other strip establishments.  Don't stock up, eat it fresh.  Good prices on coffee, canned goods, boxed foods, etc. and health/beauty items.  Sometimes I am amazed at how little we've spent for what we walk out with. // positive",positive,negative,aint,-13.279789924621582,-13.279791831970215,-1.7285361764152185e-06
5,"If your looking for professional nail care Goveias is the place. Creative Nail Design is the products used and everyone is talented! Ask for Julie or Erika !! // negative
The food was great and huge portions. The service is great. // positive
If your looking for professional nail care Goveias is the place. Creative Nail Design is the products used and everyone is talented! Ask for Julie or Erika !! // positive",positive,negative,//,-16.39303207397461,-16.39303207397461,-5.960464477539063e-08
6,"Excellent food. Only Mexican food place downtown I frequent with any regularity. Service can be slow depending on the server but I'll gladly wait for the guacamole, chicharron, burgers, tortas, chilaquiles and don't even get me started on the tacos. Long live Gallo! // negative
\u00e0 quelques m\u00e8tres mais un peu \u00e0 l'\u00e9cart du Royal Mile, ce restaurant / deli est tr\u00e8s sympa, bon sandwiches, deux soupes du jour et les serveurs sont tr\u00e8s gentils. \u00e0 recommander. plusieurs options v\u00e9g\u00e9tariennes. // positive
Excellent food. Only Mexican food place downtown I frequent with any regularity. Service can be slow depending on the server but I'll gladly wait for the guacamole, chicharron, burgers, tortas, chilaquiles and don't even get me started on the tacos. Long live Gallo! // positive",positive,negative,//,-14.051115989685059,-14.051116943359375,-7.748606662971724e-07
7,"If I didn't love Pittsburgh before, with it's beautiful rivers and views, awesome bridges and tunnels, nice parks, and the fact that it's possibly the cheapest place I've ever gone bar-hopping, when I stepped into Lava Lounge and my friend pointed out that the foot rest at the bar used to be a trough that mill workers and whatnot back in the day used to piss in, right at the bar, that the trough was built for THEM to PEE in, well.  I did then.  \n\n\nI love Pittsburgh.  Go there, you'll have fun too. // negative
Two thumbs up. We tried many items on the menu and were very pleased with quality, presentation, and taste. Owners did a great job of retaining the mid-century modern architecture and incorporating the previous building uses into the design. The staff is friendly and knowledgeable. Gabe, our server, was great. Highly recommended. // positive
If I didn't love Pittsburgh before, with it's beautiful rivers and views, awesome bridges and tunnels, nice parks, and the fact that it's possibly the cheapest place I've ever gone bar-hopping, when I stepped into Lava Lounge and my friend pointed out that the foot rest at the bar used to be a trough that mill workers and whatnot back in the day used to piss in, right at the bar, that the trough was built for THEM to PEE in, well.  I did then.  \n\n\nI love Pittsburgh.  Go there, you'll have fun too. // positive",positive,negative,\\\\,-14.713786125183105,-14.713786125183105,-4.1723259869286267e-07
8,"This place was strange, a Chinese/Asian restaurant with no \nAsian staff with surfer theme decorations?  The food was just ok at best.  There was an open mic in the next room but nobody was laughing. // positive
CLT is a cool airport. Lots of eats..free internet...I find it easy in and out.. BUT it's busy. Who'd have thought in NC that an airport would be so busy. CLT has a very strict lightening procedures... they have several ground stops in the summer.. bring your laptop and good reading.. // positive
This place was strange, a Chinese/Asian restaurant with no \nAsian staff with surfer theme decorations?  The food was just ok at best.  There was an open mic in the next room but nobody was laughing. // negative",negative,positive,//,-15.233990669250488,-15.233990669250488,-2.3841860752327193e-07
9,"The pizza is alright but the time it takes to get your pizza borders on ridiculous.  I have been twice.  The first time was just after this place opened so I thought I would try them again... just as slow now as they were then.  With so many other pizza choices in the Valley, I'd suggest looking elsewhere. // positive
ugh...this buffet made me sick.  I was eating my life away just fine.  And then I decided to have the crab legs.  Big mistake.  I walked back to my hotel feeling nauseated.  I spent the rest of my 21st birthday in the bathroom.  Enough said. // negative
The pizza is alright but the time it takes to get your pizza borders on ridiculous.  I have been twice.  The first time was just after this place opened so I thought I would try them again... just as slow now as they were then.  With so many other pizza choices in the Valley, I'd suggest looking elsewhere. // negative",negative,positive,.,-17.304471969604492,-17.304471969604492,-5.960464477539063e-08
